ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
258408000;6;140706;                        Parreira;915;448;467;902;441;461;377;1;296;502;502;0;1;500
258438000;6;140707;                        Carregueira;2020;973;1047;1927;920;1007;825;1;633;1231;1231;0;2;1199
258504000;5;1409;                    Coruche;19944;9523;10421;19048;8972;10076;8329;9;6493;12631;12575;56;18;11790
258505000;6;140901;                        Coruche;8913;4165;4748;8468;3893;4575;3685;4;2817;5305;5269;36;7;4555
258720000;6;140902;                        Couço;2765;1323;1442;2661;1268;1393;1200;4;910;2163;2160;3;8;2128
258831000;6;140903;                        São José da Lamarosa;1727;833;894;1663;793;870;738;0;588;996;996;0;1;992
258910000;6;140904;                        Fajarda;1839;888;951;1727;819;908;736;1;590;1117;1109;8;2;1097
258950000;6;140905;                        Branca;1474;729;745;1402;687;715;611;0;501;941;937;4;0;941
259013000;6;140906;                        Erra;1004;491;513;956;457;499;425;0;325;611;611;0;0;600
259061000;6;140907;                        Biscainho;1074;519;555;1030;490;540;433;0;360;773;772;1;0;764
259091000;6;140908;                        Santana do Mato;1148;575;573;1141;565;576;501;0;402;725;721;4;0;713
259136000;5;1412;                    Golegã;5465;2560;2905;5261;2444;2817;2135;6;1689;3115;3114;1;13;2773
259137000;6;141201;                        Azinhaga;1620;790;830;1593;776;817;620;1;509;837;837;0;2;812
259204000;6;141202;                        Golegã;3845;1770;2075;3668;1668;2000;1515;5;1180;2278;2277;1;11;1961
259321000;5;1414;                    Rio Maior;21192;10255;10937;20511;9875;10636;8304;14;6500;12435;12428;7;45;9829
259322000;6;141401;                        Alcobertas;1923;974;949;1858;940;918;703;1;555;1016;1015;1;5;1014
259447000;6;141402;                        Arrouquelas;591;285;306;566;272;294;245;1;176;396;396;0;1;389
259506000;6;141403;                        Arruda dos Pisões;405;186;219;392;180;212;163;0;129;274;274;0;0;270
259541000;6;141404;                        Azambujeira;458;230;228;457;232;225;194;0;141;290;289;1;0;289
259576000;6;141405;                        Fráguas;905;429;476;865;407;458;351;2;279;489;489;0;2;488
259630000;6;141406;                        Marmeleira;437;210;227;433;205;228;168;1;128;368;367;1;1;359
259659000;6;141407;                        Outeiro da Cortiçada;674;327;347;631;304;327;268;0;216;449;449;0;1;441
259711000;6;141408;                        Rio Maior;12005;5779;6226;11671;5595;6076;4683;7;3678;6839;6837;2;31;4289
260060000;6;141409;                        São João da Ribeira;892;439;453;849;409;440;344;1;288;530;529;1;1;526
260111000;6;141410;                        Asseiceira;1017;497;520;987;472;515;405;0;320;629;629;0;1;614
260159000;6;141411;                        São Sebastião;523;244;279;500;232;268;223;0;160;300;299;1;0;296
260194000;6;141412;                        Ribeira de São João;496;241;255;472;229;243;196;0;158;311;311;0;1;311
260221000;6;141413;                        Malaqueijo;438;209;229;427;203;224;194;1;135;297;297;0;1;297
260253000;6;141414;                        Assentiz;428;205;223;403;195;208;167;0;137;247;247;0;0;246
260271000;5;1415;                    Salvaterra de Magos;22159;10645;11514;21160;10020;11140;8447;28;6943;11698;11667;31;38;10713
260272000;6;141501;                        Glória do Ribatejo;3224;1586;1638;3134;1524;1610;1266;0;1089;1546;1546;0;0;1531
260347000;6;141502;                        Marinhais;6336;3072;3264;6071;2890;3181;2441;6;2015;3487;3467;20;7;3253
260475000;6;141503;                        Muge;1270;598;672;1250;587;663;518;1;402;778;777;1;3;753
260533000;6;141504;                        Salvaterra de Magos;5526;2604;2922;5143;2412;2731;2115;9;1638;2977;2971;6;16;2337
260693000;6;141505;                        Foros de Salvaterra;4920;2350;2570;4714;2197;2517;1767;12;1507;2435;2431;4;12;2365
260803000;6;141506;                        Granho;883;435;448;848;410;438;340;0;292;475;475;0;0;474
260831000;5;1416;                    Santarém;62200;29447;32753;60720;28361;32359;24941;39;19123;35098;35026;72;65;24325
260832000;6;141601;                        Abitureiras;972;455;517;932;435;497;385;2;301;585;585;0;2;581
260880000;6;141602;                        Abrã;1122;550;572;1074;516;558;447;0;355;686;686;0;0;664
260941000;6;141603;                        Achete;1918;938;980;1875;905;970;759;2;604;1210;1209;1;2;1202
261043000;6;141604;                        Alcanede;4547;2247;2300;4430;2170;2260;1775;0;1449;2456;2456;0;0;2388
261270000;6;141605;                        Alcanhões;1469;704;765;1421;679;742;558;2;452;794;794;0;2;781
261300000;6;141606;                        Almoster;1818;852;966;1738;783;955;706;2;541;1265;1261;4;2;1257
261374000;6;141607;                        Amiais de Baixo;1851;908;943;1789;867;922;740;1;569;1042;1041;1;1;959
261464000;6;141608;                        Arneiro das Milhariças;835;399;436;798;374;424;363;0;262;575;574;1;1;569
261524000;6;141609;                        Azoia de Baixo;297;124;173;295;120;175;97;1;70;146;146;0;1;139
261542000;6;141610;                        Azoia de Cima;496;239;257;486;228;258;206;0;159;331;330;1;2;322
261576000;6;141611;                        Casével;864;424;440;831;404;427;370;0;267;615;612;3;1;600
261638000;6;141612;                        Santarém (Marvila);9044;4016;5028;9046;3951;5095;3862;13;2647;5327;5306;21;17;1632
261763000;6;141613;                        Moçarria;1136;549;587;1105;527;578;441;0;355;661;660;1;0;653
261791000;6;141614;                        Pernes;1446;688;758;1392;661;731;565;2;422;769;767;2;3;632
261854000;6;141615;                        Pombalinho;448;213;235;439;209;230;204;0;135;304;304;0;0;303
261867000;6;141616;                        Póvoa da Isenta;1127;553;574;1115;539;576;424;2;336;661;659;2;2;655
261899000;6;141617;                        Póvoa de Santarém;708;342;366;689;330;359;246;1;212;353;352;1;1;348
261925000;6;141618;                        Romeira;783;388;395;741;365;376;289;1;246;432;431;1;2;423
261954000;6;141619;                        Santa Iria da Ribeira de Santarém;745;329;416;721;314;407;323;0;230;481;470;11;0;339
261984000;6;141620;                        Santarém (São Nicolau);9627;4501;5126;9546;4413;5133;3922;5;2925;5201;5197;4;9;1727
262112000;6;141621;                        Santarém (São Salvador);10513;4993;5520;10169;4758;5411;4161;3;3251;5304;5300;4;9;2580
262315000;6;141622;                        São Vicente do Paul;1835;880;955;1764;834;930;717;0;593;1168;1165;3;0;1155
262409000;6;141623;                        Tremês;1981;931;1050;1915;891;1024;808;1;631;1156;1155;1;1;1128
262505000;6;141624;                        Vale de Figueira;1082;540;542;1045;512;533;417;0;353;585;585;0;0;551
262539000;6;141625;                        Vale de Santarém;2920;1403;1517;2838;1348;1490;1164;1;925;1597;1587;10;3;1393
262606000;6;141626;                        Vaqueiros;285;137;148;270;130;140;105;0;91;174;174;0;0;166
262625000;6;141627;                        Várzea;1817;897;920;1758;859;899;695;0;582;942;942;0;4;905
262691000;6;141628;                        Gançaria;514;247;267;498;239;259;192;0;160;278;278;0;0;273
