ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
167956000;6;50329;                        Coutada;406;191;215;377;182;195;173;0;134;365;365;0;0;358
167993000;6;50330;                        Cantar-Galo;2233;1095;1138;2149;1039;1110;936;0;737;1314;1314;0;0;688
168029000;6;50331;                        Canhoso;2237;1075;1162;2129;1007;1122;877;0;727;1139;1133;6;1;369
168066000;5;504;                    Fundão;29213;14006;15207;28107;13405;14702;11995;16;9091;22004;21981;23;54;18168
168067000;6;50401;                        Alcaide;616;300;316;607;290;317;261;0;193;546;546;0;0;526
168111000;6;50402;                        Alcaria;1180;575;605;1146;556;590;462;2;351;763;763;0;4;674
168173000;6;50403;                        Alcongosta;497;234;263;476;219;257;211;0;153;385;385;0;0;369
168195000;6;50404;                        Aldeia de Joanes;1333;645;688;1263;607;656;476;2;413;707;707;0;3;493
168241000;6;50405;                        Aldeia Nova do Cabo;600;296;304;578;288;290;260;1;185;458;457;1;2;445
168269000;6;50406;                        Alpedrinha;1087;523;564;1020;484;536;410;1;322;819;819;0;4;755
168320000;6;50407;                        Atalaia do Campo;546;271;275;523;264;259;251;0;183;478;478;0;0;469
168344000;6;50408;                        Barroca;496;244;252;470;224;246;228;0;161;590;590;0;0;582
168388000;6;50409;                        Bogas de Baixo;194;95;99;188;91;97;105;0;68;310;310;0;0;310
168423000;6;50410;                        Bogas de Cima;347;162;185;338;163;175;150;0;112;361;360;1;0;356
168458000;6;50411;                        Capinha;494;234;260;489;234;255;215;1;152;561;561;0;1;558
168495000;6;50412;                        Castelejo;656;299;357;633;283;350;282;0;208;474;474;0;0;469
168550000;6;50413;                        Castelo Novo;406;194;212;392;185;207;157;0;125;464;464;0;2;465
168593000;6;50414;                        Donas;863;419;444;905;435;470;336;1;273;538;538;0;2;500
168620000;6;50415;                        Escarigo;224;100;124;215;96;119;113;0;79;297;297;0;0;293
168641000;6;50416;                        Fatela;564;266;298;536;249;287;225;0;175;490;489;1;0;486
168668000;6;50417;                        Fundão;9236;4421;4815;8735;4160;4575;3606;6;2806;5219;5208;11;17;2030
168858000;6;50418;                        Janeiro de Cima;306;140;166;299;136;163;136;0;99;320;320;0;2;319
168892000;6;50419;                        Lavacolhos;236;119;117;235;118;117;109;0;73;274;274;0;0;273
168914000;6;50420;                        Orca;650;323;327;640;320;320;324;0;209;801;797;4;4;802
168987000;6;50421;                        Pêro Viseu;728;347;381;751;370;381;305;0;230;675;675;0;0;671
169051000;6;50422;                        Póvoa de Atalaia;642;295;347;593;276;317;295;0;203;531;531;0;0;527
169106000;6;50423;                        Salgueiro;690;329;361;670;321;349;313;1;220;612;611;1;3;609
169148000;6;50424;                        Silvares;968;478;490;931;454;477;394;0;310;850;850;0;9;827
169205000;6;50425;                        Soalheira;891;439;452;867;420;447;365;1;264;688;688;0;1;667
